Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",35.814000,-29.464000,180.000000,top
"C2","100nF","C_0805_2012Metric",51.054000,-15.748000,0.000000,top
"C3","100nF","C_0805_2012Metric",36.068000,-15.748000,180.000000,top
"C4","100nF","C_0805_2012Metric",28.448000,-23.368000,0.000000,top
"C5","22pF","C_0805_2012Metric",37.084000,-45.720000,270.000000,top
"C6","22pF","C_0805_2012Metric",37.084000,-37.592000,90.000000,top
"C7","220µF","CP_Elec_6.3x5.4",45.974000,-30.988000,270.000000,top
"C8","100nF","C_0805_2012Metric",56.388000,-25.400000,0.000000,top
"C9","10nF","C_0805_2012Metric",18.796000,-49.276000,90.000000,top
"C10","10nF","C_0805_2012Metric",35.560000,-49.276000,90.000000,top
"C11","10nF","C_0805_2012Metric",30.734000,-30.226000,0.000000,top
"C12","100nF","C_0805_2012Metric",14.732000,-18.034000,180.000000,top
"C13","4.7µF","C_0805_2012Metric",12.192000,-24.638000,0.000000,top
"C14","15µF","C_1206_3216Metric",19.050000,-18.034000,180.000000,top
"C15","100nF","C_0805_2012Metric",16.002000,-36.068000,0.000000,top
"C16","100nF","C_0805_2012Metric",18.796000,-43.180000,90.000000,top
"C17","100nF","C_0805_2012Metric",16.510000,-49.022000,270.000000,top
"C18","100nF","C_0805_2012Metric",19.304000,-56.388000,90.000000,top
"C19","100nF","C_0805_2012Metric",20.066000,-61.976000,270.000000,top
"C20","100nF","C_0805_2012Metric",13.970000,-61.976000,270.000000,top
"C21","100nF","C_0805_2012Metric",35.306000,-56.134000,90.000000,top
"C22","100nF","C_0805_2012Metric",36.068000,-61.976000,270.000000,top
"C23","100nF","C_0805_2012Metric",29.972000,-61.976000,270.000000,top
"D5","RED","LED_0805_2012Metric",14.000000,-67.000000,0.000000,top
"D6","YELLOW","LED_0805_2012Metric",14.000000,-13.000000,0.000000,top
"D7","GREEN","LED_0805_2012Metric",27.000000,-67.000000,0.000000,top
"D8","YELLOW","LED_0805_2012Metric",27.000000,-13.000000,0.000000,top
